Seriation_Solution Mean_Distance Solution_Size
3485 46928.0845230231 3
7256 46972.8325418002 3
1640 46972.8325418002 3
7240 46972.8325418002 3
1629 46972.8325418002 3
3584 47031.4304481588 3
10823 47031.4304481588 3
3472 47077.6585760167 3
10608 47077.6585760167 3
982 47598.7394791081 3
6022 47598.7394791081 3
7615 48006.2433439652 3
1826 48006.2433439652 3
6889 48099.9669126705 3
1457 48099.9669126705 3
3335 48106.536977837 3
10372 48106.536977837 3
4022 48133.79903976 3
11581 48133.79903976 3
3948 48148.4833509842 3
11463 48148.4833509842 3
7262 48374.4446996552 3
1644 48374.4446996552 3
1655 48374.4446996552 3
7281 48374.4446996552 3
351 48563.3565767442 4
4786 48563.3565767442 4
4787 48563.3565767442 4
3318 48821.0615411013 3
7887 48821.0615411013 3
11157 48821.0615411013 3
10549 48821.0615411013 3
6789 48821.0615411013 3
344 48821.0615411013 3
1974 48821.0615411013 3
1398 48821.0615411013 3
3778 48821.0615411013 3
4772 48821.0615411013 3
9814 48821.0615411013 3
3029 48821.0615411013 3
10348 48821.0615411013 3
3438 48821.0615411013 3
7787 48855.6680130361 3
1916 48855.6680130361 3
7769 48855.6680130361 3
1905 48855.6680130361 3
3729 49032.9735994055 3
11076 49032.9735994055 3
4115 49115.7982934208 4
4114 49115.7982934208 4
28 49115.7982934208 4
3189 49645.027948426 4
10116 49645.027948426 4
10117 49645.027948426 4
3216 49645.027948426 3
10163 49645.027948426 3
3569 49786.3038630807 4
10798 49786.3038630807 4
10799 49786.3038630807 4
9620 49827.5000166339 4
2927 49827.5000166339 4
9619 49827.5000166339 4
1624 49998.780140681 4
7231 49998.780140681 4
7232 49998.780140681 4
542 50138.040387169 4
5161 50138.040387169 4
5162 50138.040387169 4
9199 50494.968938741 4
9198 50494.968938741 4
2702 50494.968938741 4
9165 50687.3218557059 4
2685 50687.3218557059 4
9164 50687.3218557059 4
11614 50869.7892663219 3
4040 50869.7892663219 3
10961 51273.9821839498 3
3660 51273.9821839498 3
6445 51276.2606046224 4
1218 51276.2606046224 4
6444 51276.2606046224 4
7083 51282.4889793226 4
1550 51282.4889793226 4
7084 51282.4889793226 4
3411 51378.7607577295 3
10511 51378.7607577295 3
3422 51378.7607577295 3
10492 51378.7607577295 3
2033 51708.3639269316 3
7990 51708.3639269316 3
6848 52102.2695954792 3
1432 52102.2695954792 3
9325 52211.4968182296 3
2773 52211.4968182296 3
2559 52565.1529057036 3
8928 52565.1529057036 3
4739 52715.2832447431 4
329 52715.2832447431 4
4738 52715.2832447431 4
2274 52934.8968073047 3
8427 52934.8968073047 3
4951 52963.7160146405 4
433 52963.7160146405 4
4952 52963.7160146405 4
3780 53166.0192228081 3
1400 53166.0192228081 3
9141 53166.0192228081 3
10553 53166.0192228081 3
11055 53166.0192228081 3
2670 53166.0192228081 3
1976 53166.0192228081 3
10351 53166.0192228081 3
7372 53166.0192228081 3
3031 53166.0192228081 3
3714 53166.0192228081 3
5505 53166.0192228081 3
2460 53166.0192228081 3
6792 53166.0192228081 3
6206 53166.0192228081 3
9817 53166.0192228081 3
3320 53166.0192228081 3
8355 53166.0192228081 3
3440 53166.0192228081 3
7890 53166.0192228081 3
8760 53166.0192228081 3
724 53166.0192228081 3
2229 53166.0192228081 3
1075 53166.0192228081 3
1700 53166.0192228081 3
11160 53166.0192228081 3
2831 53174.8211092431 3
9437 53174.8211092431 3
11018 53465.4372468794 3
3696 53465.4372468794 3
2864 53465.4372468794 3
9495 53465.4372468794 3
3834 53519.1381917248 4
11256 53519.1381917248 4
11255 53519.1381917248 4
7933 53718.7662646863 3
2000 53718.7662646863 3
10597 53722.7525613052 4
3464 53722.7525613052 4
10596 53722.7525613052 4
9763 53903.2564800074 4
3002 53903.2564800074 4
9762 53903.2564800074 4
10402 53967.4753902756 3
3352 53967.4753902756 3
3746 53986.9317520453 3
11108 53986.9317520453 3
1358 54120.8329296584 3
6717 54120.8329296584 3
6736 54120.8329296584 3
1369 54120.8329296584 3
6327 54171.6517839358 3
1160 54171.6517839358 3
6346 54171.6517839358 3
1149 54171.6517839358 3
6363 55417.2947463154 3
6380 55417.2947463154 3
1184 55417.2947463154 3
1173 55417.2947463154 3
4928 55677.2801734135 4
422 55677.2801734135 4
5306 55677.2801734135 4
4927 55677.2801734135 4
620 55677.2801734135 4
5305 55677.2801734135 4
2058 56138.9708491022 4
8034 56138.9708491022 4
8035 56138.9708491022 4
4683 56179.6196063506 4
304 56179.6196063506 4
4684 56179.6196063506 4
11217 56475.5340639549 4
11216 56475.5340639549 4
3812 56475.5340639549 4
3819 56828.8790141069 3
11229 56828.8790141069 3
5615 57152.4468417582 4
784 57152.4468417582 4
5616 57152.4468417582 4
10241 57233.8147209256 4
3260 57233.8147209256 4
10240 57233.8147209256 4
1324 57342.888460558 3
6658 57342.888460558 3
119 57477.2419771531 4
4296 57477.2419771531 4
4295 57477.2419771531 4
3983 57541.9197628998 3
11520 57541.9197628998 3
4249 57751.6284950694 4
4250 57751.6284950694 4
95 57751.6284950694 4
10747 57792.1017988113 4
3545 57792.1017988113 4
10748 57792.1017988113 4
8303 57823.4148074982 3
2198 57823.4148074982 3
4173 58027.3321978531 3
55 58027.3321978531 3
3514 58081.5538703985 3
10678 58081.5538703985 3
10657 58081.5538703985 3
3503 58081.5538703985 3
2625 58119.5864003516 4
9060 58119.5864003516 4
9061 58119.5864003516 4
2829 58403.6206069453 3
9434 58403.6206069453 3
9483 58479.7368286765 4
2856 58479.7368286765 4
9484 58479.7368286765 4
2610 58633.3215673169 4
9030 58633.3215673169 4
9029 58633.3215673169 4
6762 58669.6352212965 3
1382 58669.6352212965 3
7985 58904.265550128 3
2030 58904.265550128 3
8847 58932.2838370721 4
8848 58932.2838370721 4
2514 58932.2838370721 4
10349 58957.3548066548 4
10350 58957.3548066548 4
3319 58957.3548066548 4
3380 59020.6919647677 3
10447 59020.6919647677 3
1090 59292.6816732048 3
6231 59292.6816732048 3
5860 59361.8694381375 4
5859 59361.8694381375 4
904 59361.8694381375 4
1759 59601.7343851519 4
7487 59601.7343851519 4
7486 59601.7343851519 4
8419 59613.003027863 3
2268 59613.003027863 3
3774 59892.5364298424 3
11150 59892.5364298424 3
6067 59977.0717607987 3
1015 59977.0717607987 3
1004 59977.0717607987 3
6083 59977.0717607987 3
11393 60018.8969240728 4
3904 60018.8969240728 4
11392 60018.8969240728 4
4317 60922.0621762403 4
130 60922.0621762403 4
4316 60922.0621762403 4
9322 61017.3764580738 3
